ID,Date (GMT),Time (24hr),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),Isco Vol (mL),DnStream Flow (SCCM),Schu01 (in),Schu02 (in),PorePress(psig)
1,12/19/2016,2:22:21 PM,9.229,1.69336,-29008.1,0.0508822,-0.61477,22.1,21.9,21.8,21.8,22.3,22,3.19905,396.301,0,4.06115,3.98142,-0.322266
2,12/19/2016,2:22:32 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,22.1,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06115,3.98142,-0.322266
3,12/19/2016,2:22:42 PM,9.229,1.69336,-28997.5,0.0508822,-0.615336,22.1,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06109,3.98142,-0.322266
4,12/19/2016,2:22:52 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615148,22,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06109,3.98142,-0.322266
5,12/19/2016,3:43:49 PM,13.1965,1.69336,-29008.1,0.0508822,-0.615965,137.7,152.4,57.2,22.1,22.4,70.2,3.19905,396.301,0,4.06162,3.98142,-0.322266
6,12/19/2016,4:17:09 PM,13.1965,1.69336,-28997.5,0.0508822,-0.61477,175.5,182.2,98.8,22.3,22.4,130.7,3.19905,396.301,0,4.06283,3.98142,-0.322266
7,12/19/2016,4:50:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,183.9,170.2,128.8,22.5,22.3,151.6,3.19905,396.301,0,4.06323,3.98142,-1.24048
8,12/19/2016,5:23:49 PM,11.3652,2.92456,-28997.5,0.0508822,-0.615776,187.2,182,145,22.6,22.4,163.3,3.19905,396.301,0,4.06343,3.98142,-1.24048
9,12/19/2016,5:57:08 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,185.5,181.6,154,22.5,22.3,166.9,3.19905,396.301,0,4.06336,3.98142,-1.24048
10,12/19/2016,6:30:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,181.3,187.7,159.3,22.7,22.3,168.9,3.19905,396.301,0,4.06308,3.98122,-1.24048
11,12/19/2016,7:03:49 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,180.2,183.9,162.6,22.6,22.2,172.7,3.19905,396.301,0,4.06283,3.98081,-1.24048
12,12/19/2016,7:37:09 PM,10.1445,1.69336,-28997.5,0.0508822,-0.615776,183.1,184.7,164.1,22.6,22.3,173,3.19905,396.301,0,4.06283,3.98048,-1.24048
13,12/19/2016,8:10:29 PM,10.1445,1.69336,-28997.5,0.0508822,-0.61477,173.1,193.5,165.5,22.6,22.3,173.3,3.19905,396.301,0,4.06248,3.98002,-1.24048
14,12/19/2016,8:43:49 PM,10.1445,2.92456,-29008.1,0.0509006,-0.615336,177.7,181.8,165.5,22.8,22.3,173.6,3.19905,396.301,0,4.06235,3.97989,-1.24048
15,12/19/2016,9:17:09 PM,10.1445,1.69336,-28997.5,0.0509006,-0.615336,186.1,184.5,166.4,22.9,22.3,174.9,3.19905,396.301,0,4.06235,3.97983,-1.24048
16,12/19/2016,9:50:29 PM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,197.1,187.5,166.4,23,22.4,173.6,3.19905,396.301,0,4.06216,3.97961,-1.24048
17,12/19/2016,10:23:49 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,176.6,184.4,167.2,23.2,22.4,174.4,3.19905,396.301,0,4.06203,3.9795,-1.24048
18,12/19/2016,10:57:09 PM,10.1445,1.69336,-29008.1,0.0508822,-0.61477,189.8,179.8,167.5,23.1,22.3,174.6,3.19905,396.301,0,4.06216,3.97972,-1.24048
19,12/19/2016,11:30:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615525,196,196.3,167.7,23.3,22.4,175.4,3.19905,396.301,0,4.06223,3.9795,-2.15869
20,12/20/2016,12:03:49 AM,10.1445,1.69336,-28997.5,0.0509006,-0.615148,193.5,194.6,168,23.3,22.4,175.7,3.19905,396.301,0,4.06188,3.97961,-1.24048
21,12/20/2016,12:37:09 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,185.8,182,167.8,23.1,22.4,175.2,3.19905,396.301,0,4.06169,3.9792,-1.24048
22,12/20/2016,1:10:28 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,192.2,189.6,167.9,23.2,22.4,175.5,3.19905,396.301,0,4.06156,3.97972,-1.24048
23,12/20/2016,1:43:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615776,184.1,181.2,167.7,23.2,22.4,174.9,3.19905,396.301,0,4.06169,3.97942,-1.24048
24,12/20/2016,2:17:09 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,177.9,190.2,168,23,22.4,175.7,3.19905,396.301,0,4.06109,3.97903,-1.24048
25,12/20/2016,2:50:29 AM,9.229,1.69336,-28997.5,0.0508822,-0.615965,187,189.8,167.8,23.1,22.4,174.3,3.19905,396.301,0,4.06134,3.9792,-1.24048
26,12/20/2016,3:23:49 AM,9.229,1.69336,-29008.1,0.0508822,-0.615525,191.7,196.9,167.8,23.1,22.4,175.3,3.19905,396.301,0,4.06115,3.97896,-1.24048
27,12/20/2016,3:57:09 AM,9.229,1.69336,-28997.5,0.0509006,-0.614959,190.2,184.5,167.7,23,22.5,173.8,3.19905,396.301,0,4.06109,3.97937,-1.24048
28,12/20/2016,4:30:29 AM,9.229,2.92456,-29008.1,0.0508822,-0.615965,186.2,184.5,167.7,23.1,22.4,175.4,3.19905,396.301,0,4.06096,3.97896,-1.24048
29,12/20/2016,5:03:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,192.2,189.1,167.5,23,22.4,175.1,3.19905,396.301,0,4.06074,3.97903,-1.24048
30,12/20/2016,5:37:09 AM,9.229,1.69336,-29008.1,0.0508822,-0.61477,183.9,175.4,167.7,23.2,22.4,174.8,3.19905,396.301,0,4.06068,3.97885,-1.24048
31,12/20/2016,6:10:29 AM,10.1445,2.92456,-28997.5,0.0508822,-0.615148,190.1,182.3,167.9,23.2,22.4,175.5,3.19905,396.301,0,4.06068,3.97909,-1.24048
32,12/20/2016,6:43:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.614959,180.4,182.1,167.7,23.1,22.4,175.4,3.19905,396.301,0,4.06068,3.97915,-2.15869
33,12/20/2016,7:17:09 AM,9.229,1.69336,-28997.5,0.0508822,-0.615525,189,190.2,167.4,23.2,22.7,175.5,3.19905,396.301,0,4.06087,3.97915,-1.24048
34,12/20/2016,7:50:29 AM,9.229,1.69336,-29008.1,0.0508822,-0.616154,196.6,193.6,167.4,23,22.3,175.2,3.19905,396.301,0,4.06049,3.97896,-2.15869
35,12/20/2016,8:23:48 AM,10.1445,1.69336,-29008.1,0.0509006,-0.615776,194,182.1,167.6,23,22.3,175.7,3.19905,396.301,0,4.06042,3.9789,-1.24048
36,12/20/2016,8:57:09 AM,10.1445,1.69336,-28997.5,0.0509006,-0.615525,190.4,184.2,167.7,23.2,22.3,175.7,3.19905,396.301,0,4.06049,3.9792,-1.24048
37,12/20/2016,9:30:29 AM,9.229,1.69336,-29008.1,0.0508822,-0.615336,196.7,184.4,167.9,23.1,22.3,174.3,3.19905,396.301,0,4.06042,3.97955,-1.24048
38,12/20/2016,9:55:59 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615148,191.3,182.2,167.3,23.1,22.4,175.5,3.19905,507.076,0,4.06027,3.97857,-1.24048
39,12/20/2016,9:56:08 AM,10.1445,1.69336,-28997.5,0.0508822,-0.614959,189.3,182.1,167.3,23,22.4,175.6,3.19905,507.076,0,4.06036,3.97844,-1.24048
40,12/20/2016,9:56:18 AM,10.1445,1.69336,-29008.1,0.0508822,-0.614959,187.9,182.1,167.3,23.1,22.5,175.6,3.19905,507.076,0,4.06042,3.97879,-1.24048
41,12/20/2016,9:56:28 AM,9.229,2.92456,-28997.5,0.0508822,-0.615148,186.3,182.3,167.3,23,22.4,175.7,3.19905,507.076,0,4.06027,3.97868,-1.24048
42,12/20/2016,9:56:38 AM,11.3652,1.69336,-28997.5,0.0508822,-0.615148,185.3,182.7,167.3,22.9,22.4,175.7,3.19905,507.076,0,4.06049,3.97874,-1.24048
43,12/20/2016,9:56:49 AM,11.3652,1.69336,-28997.5,0.0509006,-0.615148,184.2,183.1,167.3,22.9,22.4,175.7,3.19905,507.076,0,4.06014,3.97896,-1.24048
44,12/20/2016,9:56:59 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,183.3,183.9,167.3,23,22.5,175.8,3.19905,507.076,0,4.06001,3.97852,-1.24048
45,12/20/2016,9:57:09 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615148,182.5,184.5,167.3,23,22.5,175.8,3.19905,507.076,0,4.06021,3.97896,-1.24048
46,12/20/2016,9:57:19 AM,10.1445,1.69336,-29008.1,0.0509006,-0.614959,181.7,185.4,167.3,23,22.5,175.8,3.19905,507.076,0,4.06036,3.97868,-1.24048
47,12/20/2016,9:57:28 AM,10.1445,1.69336,-29008.1,0.0509006,-0.615525,181,186.4,167.3,23.1,22.4,175.7,3.19905,507.076,0,4.06021,3.97857,-1.24048
48,12/20/2016,9:57:38 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,180.3,187.5,167.3,23,22.4,175.7,3.19905,507.076,0,4.06021,3.97874,-1.24048
49,12/20/2016,9:57:48 AM,10.1445,1.69336,-28997.5,0.0509006,-0.614959,179.7,188.6,167.3,23,22.5,175.7,3.19905,507.076,0,4.06027,3.97931,-1.24048
50,12/20/2016,9:57:58 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615525,179.1,189.8,167.3,23,22.5,175.7,3.19905,507.076,0,4.06014,3.97931,-1.24048
51,12/20/2016,9:58:09 AM,10.1445,1.69336,-28997.5,0.0509006,-0.61477,178.5,191,167.3,23.2,22.5,175.7,3.19905,507.076,0,4.06014,3.97915,-1.24048
52,12/20/2016,9:58:19 AM,10.1445,1.69336,-29008.1,0.0509006,-0.61477,178,192.2,167.3,23.1,22.5,175.6,3.19905,507.076,0,4.06027,3.97926,-1.24048
53,12/20/2016,9:58:29 AM,10.1445,1.69336,-28997.5,0.0509006,-0.615965,177.6,193.5,167.4,23.1,22.4,175.5,3.19905,507.076,0,4.06001,3.97879,-1.24048
54,12/20/2016,9:58:39 AM,10.1445,1.69336,-29008.1,0.0509006,-0.615148,177.1,194.6,167.3,23.1,22.4,175.5,3.19905,507.076,0,4.06014,3.97879,-1.24048
55,12/20/2016,9:58:48 AM,16.8586,1.69336,-29008.1,0.0509006,-0.615525,176.6,195.5,167.3,23,22.5,175.4,3.19905,505.652,0,4.06049,3.97874,-1.24048
56,12/20/2016,9:58:58 AM,45.5466,1.69336,-29008.1,0.0508822,-0.61477,176.6,196.2,167.3,23,22.5,175.3,3.19905,491.041,0,4.06042,3.97844,-1.24048
57,12/20/2016,9:59:08 AM,161.519,1.69336,-29008.1,0.0509006,-0.615776,179.5,196.7,167.3,23,22.5,174.9,3.22246,457.175,0,4.06042,3.97792,-1.24048
58,12/20/2016,9:59:19 AM,404.145,1.69336,-28997.5,0.0509006,-0.615148,182.8,196.9,167.3,23.2,22.5,174.4,3.23416,429.671,0,4.06128,3.97689,-1.24048
59,12/20/2016,9:59:29 AM,481.968,1.69336,-28997.5,0.0508822,-0.615148,185.4,196.8,167.3,23,22.5,174.2,3.24586,424.626,0,4.06162,3.97683,-1.24048
60,12/20/2016,9:59:39 AM,507.909,1.69336,-28997.5,0.0509006,-0.615965,188.6,196.6,167.2,23.1,22.5,174.1,3.23416,423.542,0,4.06182,3.97718,-1.24048
61,12/20/2016,9:59:49 AM,623.881,2.92456,-28997.5,0.0509006,-0.61477,190.7,196,167.2,23.2,22.5,174.1,3.24586,415.447,0,4.0621,3.97689,-1.24048
62,12/20/2016,9:59:58 AM,722.763,1.69336,-28997.5,0.0509006,-0.615148,193,195.6,167.2,23.2,22.6,173.9,3.24586,409.442,0,4.06216,3.97631,-1.24048
63,12/20/2016,10:00:08 AM,814.93,2.92456,-28997.5,0.0508822,-0.61477,194.3,195,167.2,23.1,22.6,173.8,3.24586,402.848,0,4.0621,3.97596,-1.24048
64,12/20/2016,10:00:18 AM,909.234,1.69336,-28997.5,0.0509006,-0.615965,196.3,194.2,167.2,23.2,22.4,173.7,3.24586,396.688,0,4.06182,3.97569,-1.24048
65,12/20/2016,10:00:29 AM,1011.78,1.69336,-28997.5,0.0509006,-0.614959,197.4,193.6,167.1,23.2,22.6,173.6,3.25757,390.605,0,4.06156,3.97476,-1.24048
66,12/20/2016,10:00:39 AM,1095.71,1.69336,-29008.1,0.0509006,-0.615336,197.9,192.8,167.1,22.9,22.6,173.6,3.24586,384.554,0,4.06134,3.97435,-1.24048
67,12/20/2016,10:00:49 AM,1196.42,2.92456,-28997.5,0.0509006,-0.615776,195.8,192,167.1,23,22.6,173.5,3.24586,377.62,0,4.06055,3.97343,-1.24048
68,12/20/2016,10:00:59 AM,1287.67,1.69336,-28997.5,0.0509006,-0.615965,193,191.3,167.1,23.1,22.6,173.5,3.25757,371.537,0,4.05894,3.97176,-1.24048
69,12/20/2016,10:01:09 AM,1369.46,1.69336,-28997.5,0.0509006,-0.614959,190.7,190.5,167,23.2,22.6,173.4,3.25757,364.216,0,4.05641,3.96899,-1.24048
70,12/20/2016,10:01:18 AM,1466.51,1.69336,-28997.5,0.0508822,-0.615525,188.7,189.7,166.9,23,22.5,173.3,3.25757,355.006,0,4.05218,3.96403,-1.24048
71,12/20/2016,10:01:28 AM,1557.76,1.69336,-28997.5,0.0509006,-0.615776,186.8,189,166.9,23.2,22.6,173.2,3.25757,345.441,0,4.04676,3.9579,-1.24048
72,12/20/2016,10:01:39 AM,1643.52,1.69336,-28997.5,0.0509006,-0.614959,185.6,188.3,166.8,23.2,22.6,173,3.25757,336.077,0,4.04105,3.95117,-1.24048
73,12/20/2016,10:01:49 AM,1747.29,1.69336,-28997.5,0.0509006,-0.615965,184.4,187.7,166.8,23.2,22.6,172.9,3.25757,324.763,0,4.03362,3.94302,-1.24048
74,12/20/2016,10:01:59 AM,1841.28,1.69336,-28997.5,0.0509006,-0.614959,183.3,187,166.8,23.2,22.6,172.7,3.25757,315.554,0,4.02761,3.93638,-1.24048
75,12/20/2016,10:02:09 AM,1934.67,2.92456,-28997.5,0.0509006,-0.615336,182.3,186.3,166.7,23.1,22.6,172.5,3.25757,304.688,0,4.02091,3.929,-1.24048
76,12/20/2016,10:02:19 AM,2028.67,1.69336,-28997.5,0.0509006,-0.615965,181.5,185.7,166.6,23,22.6,172.3,3.25757,295.092,0,4.01481,3.92156,-1.24048
77,12/20/2016,10:02:29 AM,2131.52,1.69336,-28997.5,0.0509006,-0.61477,180.7,185,166.6,22.9,22.6,172.1,3.25757,285.805,0,4.00865,3.91527,-1.24048
78,12/20/2016,10:02:38 AM,2224.6,1.69336,-28997.5,0.0509006,-0.615965,180,184.6,166.5,22.9,22.6,171.9,3.25757,276.906,0,4.00377,3.90898,-1.24048
79,12/20/2016,10:02:48 AM,2310.36,1.69336,-28997.5,0.0509006,-0.614959,179.3,184,166.4,23,22.6,171.8,3.26927,268.192,0,3.99859,3.9035,-1.24048
80,12/20/2016,10:02:59 AM,2411.99,1.69336,-28997.5,0.0509006,-0.615965,179,183.4,166.4,22.9,22.6,171.6,3.26927,259.803,0,3.99325,3.89813,-1.24048
81,12/20/2016,10:03:09 AM,2505.38,1.69336,-28997.5,0.0509006,-0.615525,181.5,182.9,166.3,22.9,22.5,171.4,3.25757,251.553,0,3.98904,3.8923,-1.24048
82,12/20/2016,10:03:19 AM,2599.38,2.92456,-28997.5,0.0509006,-0.615965,184.1,182.6,166.3,23,22.6,171.3,3.26927,242.839,0,3.98401,3.88688,-1.24048
83,12/20/2016,10:03:29 AM,2692.76,2.92456,-29008.1,0.0508822,-0.615148,187.5,181.9,166.2,23,22.6,171.1,3.26927,235.797,0,3.97978,3.88255,-1.24048
84,12/20/2016,10:03:39 AM,2786.76,1.69336,-29008.1,0.0509006,-0.614959,189.7,181.5,166.3,23.2,22.6,171,3.26927,228.29,0,3.97617,3.87846,-1.24048
85,12/20/2016,10:03:49 AM,2841.09,2.92456,-28997.5,0.0509006,-0.615965,191.8,181.1,166.2,23.1,22.6,170.8,3.26927,222.78,0,3.97235,3.87408,-1.24048
86,12/20/2016,10:03:58 AM,2835.29,1.69336,-28997.5,0.0508822,-0.61477,193.3,180.7,166,23.2,22.6,170.7,3.26927,221.387,0,3.96995,3.87176,-1.24048
87,12/20/2016,10:04:09 AM,2840.17,1.69336,-29008.1,0.0509006,-0.615776,195.4,180.3,166,23.2,22.6,170.7,3.26927,219.916,0,3.96827,3.86964,-1.24048
88,12/20/2016,10:04:19 AM,2839.25,2.92456,-29008.1,0.0508822,-0.615525,196.6,179.9,165.9,23,22.6,170.7,3.26927,218.926,0,3.96673,3.86773,-1.24048
89,12/20/2016,10:04:29 AM,2840.17,1.69336,-28997.5,0.0508822,-0.61477,198.3,179.6,165.8,23.1,22.6,170.7,3.26927,218.028,0,3.96552,3.86645,-1.24048
90,12/20/2016,10:04:39 AM,2840.17,1.69336,-29008.1,0.0509006,-0.615525,197.8,179.3,165.8,23,22.6,170.7,3.26927,217.301,0,3.96438,3.86558,-1.24048
91,12/20/2016,10:04:49 AM,2841.09,1.69336,-29008.1,0.0508822,-0.615336,194.9,178.9,165.7,23.1,22.6,170.8,3.26927,216.573,0,3.96331,3.86433,-1.24048
92,12/20/2016,10:04:59 AM,2841.09,1.69336,-28997.5,0.0508822,-0.614959,192.5,178.6,165.7,23.1,22.6,170.9,3.26927,216.062,0,3.96245,3.86386,-1.24048
93,12/20/2016,10:05:08 AM,2842,1.69336,-29008.1,0.0508822,-0.615148,190.2,178.3,165.7,23.2,22.6,171,3.26927,215.459,0,3.96176,3.86294,-1.24048
94,12/20/2016,10:05:19 AM,2842,1.69336,-28997.5,0.0509006,-0.614959,188.4,178,165.6,23.3,22.6,171.1,3.26927,214.948,0,3.96097,3.86207,-1.24048
95,12/20/2016,10:05:29 AM,2836.2,1.69336,-29008.1,0.0508822,-0.615525,187.1,177.9,165.5,23.1,22.6,171.3,3.26927,214.716,0,3.9605,3.8612,-1.24048
96,12/20/2016,10:05:39 AM,2886.86,1.69336,-29008.1,0.0508822,-0.61477,185.7,177.4,165.5,23.2,22.6,171.4,3.26927,211.76,0,3.96009,3.86074,-1.24048
97,12/20/2016,10:05:49 AM,2888.7,1.69336,-28997.5,0.0508822,-0.615776,184.4,177.2,165.6,23.2,22.6,171.5,3.26927,211.249,0,3.95923,3.86005,-1.24048
98,12/20/2016,10:05:59 AM,2886.86,1.69336,-28997.5,0.0509006,-0.615776,183.4,177,165.4,23.1,22.6,171.6,3.26927,210.862,0,3.95876,3.85885,-1.24048
99,12/20/2016,10:06:09 AM,2896.33,1.69336,-28997.5,0.0509006,-0.61477,182.5,176.8,165.4,23.2,22.6,171.6,3.26927,209.871,0,3.95796,3.85839,-1.24048
100,12/20/2016,10:06:19 AM,2900.9,1.69336,-28997.5,0.0508822,-0.615965,181.7,176.6,165.4,23.1,22.6,171.7,3.26927,209.252,0,3.95743,3.85774,-1.24048
101,12/20/2016,10:06:29 AM,2900.9,1.69336,-29008.1,0.0509006,-0.61477,180.9,176.3,165.4,23.2,22.6,171.8,3.26927,208.896,0,3.95676,3.857,-1.24048
102,12/20/2016,10:06:39 AM,2900.9,1.69336,-28997.5,0.0509006,-0.61477,180.3,176.1,165.4,23.3,22.6,171.8,3.26927,208.401,0,3.95629,3.85648,-1.24048
103,12/20/2016,10:06:49 AM,2900.9,1.69336,-29008.1,0.0509006,-0.615965,179.6,176.1,165.4,23,22.6,171.8,3.26927,207.906,0,3.95569,3.85635,-1.24048
104,12/20/2016,10:06:59 AM,2900.9,1.69336,-28997.5,0.0509006,-0.61477,179.3,175.8,165.5,23.1,22.6,171.9,3.26927,207.519,0,3.95521,3.85602,-1.24048
105,12/20/2016,10:07:09 AM,2900.9,1.69336,-29008.1,0.0509006,-0.615148,181.4,175.7,165.3,23.1,22.6,171.9,3.26927,207.008,0,3.95481,3.85515,-1.24048
106,12/20/2016,10:07:19 AM,2900.9,1.69336,-29008.1,0.0508822,-0.615965,184.9,175.5,165.3,23.2,22.6,171.9,3.26927,206.559,0,3.95433,3.85474,-1.24048
107,12/20/2016,10:07:29 AM,2902.12,1.69336,-29008.1,0.0508822,-0.614959,187.5,175.8,165.3,23.2,22.6,171.9,3.26927,206.048,0,3.95408,3.85439,-1.24048
108,12/20/2016,10:07:40 AM,2900.9,1.69336,-28997.5,0.0509006,-0.615776,189.8,176,165.3,23.2,22.6,171.9,3.26927,205.661,0,3.95354,3.85393,-1.24048
109,12/20/2016,10:07:49 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615776,192.5,176.6,165.3,23.1,22.6,171.9,3.26927,205.274,0,3.95307,3.85348,-1.24048
110,12/20/2016,10:07:59 AM,2900.9,1.69336,-29008.1,0.0509006,-0.614959,194,177.4,165.3,23.1,22.6,171.9,3.26927,204.934,0,3.95266,3.85295,-1.24048
111,12/20/2016,10:08:09 AM,2902.12,1.69336,-29008.1,0.0508822,-0.61477,196.1,178.2,165.4,23.1,22.5,171.9,3.26927,204.547,0,3.95234,3.85278,-2.15869
112,12/20/2016,10:08:19 AM,2902.12,1.69336,-28997.5,0.0509006,-0.615148,197.4,179.1,165.3,23.2,22.5,172,3.26927,204.16,0,3.95234,3.85237,-1.24048
113,12/20/2016,10:08:29 AM,2902.12,1.69336,-28997.5,0.0509006,-0.615776,199.1,180.2,165.4,23,22.5,172.1,3.26927,203.928,0,3.95186,3.85209,-1.24048
114,12/20/2016,10:08:39 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615965,197.8,181.4,165.3,23.3,22.6,172.2,3.26927,203.696,0,3.95146,3.8518,-1.24048
115,12/20/2016,10:08:49 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615776,195.4,182.5,165.3,23,22.5,172.2,3.26927,203.433,0,3.9512,3.85139,-1.24048
116,12/20/2016,10:09:00 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615148,192.5,183.9,165.3,23.2,22.6,172.4,3.26927,203.309,0,3.9512,3.85134,-1.24048
117,12/20/2016,10:09:09 AM,2903.04,1.69336,-28997.5,0.0508822,-0.61477,190.6,185.2,165.3,23.2,22.6,172.5,3.26927,203.046,0,3.95098,3.85093,-1.24048
118,12/20/2016,10:09:19 AM,2903.04,1.69336,-28997.5,0.0508822,-0.615148,188.8,186.4,165.3,23.2,22.6,172.5,3.26927,202.937,0,3.95079,3.85071,-1.24048
119,12/20/2016,10:09:29 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615965,187.3,187.9,165.4,23.1,22.6,172.7,3.26927,202.813,0,3.95045,3.85019,-1.24048
120,12/20/2016,10:09:39 AM,2903.04,1.69336,-29008.1,0.0508822,-0.61477,186.2,189.1,165.3,23.1,22.6,172.7,3.26927,202.705,0,3.95019,3.85008,-1.24048
121,12/20/2016,10:09:49 AM,2903.04,1.69336,-28997.5,0.0508822,-0.615336,185,190.4,165.4,23.1,22.6,172.9,3.26927,202.581,0,3.94978,3.84932,-1.24048
122,12/20/2016,10:09:59 AM,2902.12,1.69336,-29008.1,0.0508822,-0.615965,184,191.6,165.4,23.2,22.6,172.9,3.26927,202.473,0,3.94965,3.84932,-2.15869
123,12/20/2016,10:10:10 AM,2903.04,1.69336,-29008.1,0.0508822,-0.615525,183.1,192.8,165.3,23.3,22.6,173,3.26927,202.194,0,3.94924,3.84926,-1.24048
124,12/20/2016,10:10:20 AM,2903.04,1.69336,-29008.1,0.0508822,-0.614959,182.2,194.3,165.4,23.2,22.6,173,3.26927,202.086,0,3.94924,3.84926,-2.15869
125,12/20/2016,10:10:29 AM,2902.12,1.69336,-28997.5,0.0508822,-0.614959,181.5,195.5,165.4,23.3,22.6,173.1,3.26927,201.962,0,3.94899,3.84921,-1.24048
126,12/20/2016,10:10:39 AM,2903.04,1.69336,-29008.1,0.0508822,-0.615965,180.9,196.6,165.5,23.3,22.6,173.1,3.26927,201.807,0,3.94871,3.8485,-1.24048
127,12/20/2016,10:10:49 AM,2903.04,1.69336,-28997.5,0.0508822,-0.615776,180.1,197.3,165.4,23.2,22.6,173.1,3.26927,201.699,0,3.94851,3.84828,-1.24048
128,12/20/2016,10:10:59 AM,2902.12,1.69336,-29008.1,0.0508822,-0.61477,179.8,197.6,165.5,23.3,22.6,173.2,3.26927,201.575,0,3.94845,3.84823,-1.24048
129,12/20/2016,10:11:09 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615336,181.8,197.8,165.5,23.3,22.6,173.2,3.26927,201.467,0,3.94832,3.84812,-1.24048
130,12/20/2016,10:11:20 AM,2900.9,1.69336,-28997.5,0.0508822,-0.616154,185.1,197.9,165.5,23.6,22.6,173.1,3.26927,201.358,0,3.94804,3.84804,-1.24048
131,12/20/2016,10:11:30 AM,2902.12,1.69336,-28997.5,0.0508822,-0.614959,188.2,197.7,165.5,23.4,22.6,173.1,3.26927,201.08,0,3.94772,3.84741,-1.24048
132,12/20/2016,10:11:39 AM,2902.12,1.69336,-28997.5,0.0508822,-0.614959,190.8,197.3,165.5,23.3,22.6,173.1,3.26927,200.972,0,3.94763,3.84736,-2.15869
133,12/20/2016,10:11:49 AM,2902.12,1.69336,-28997.5,0.0509006,-0.615776,191.6,196.5,165.5,23.3,22.6,173,3.26927,200.693,0,3.94757,3.8473,-1.24048
134,12/20/2016,10:11:59 AM,2902.12,1.69336,-28997.5,0.0508822,-0.61477,190.5,196,165.5,23.3,22.6,173,3.26927,200.585,0,3.94738,3.84719,-1.24048
135,12/20/2016,10:12:09 AM,2902.12,1.69336,-29008.1,0.0508822,-0.614959,191.9,195.3,165.5,23.2,22.6,173,3.26927,200.461,0,3.9471,3.84654,-1.24048
136,12/20/2016,10:12:19 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615336,193.4,194.6,165.6,22.9,22.6,173,3.26927,200.352,0,3.94703,3.84638,-1.24048
137,12/20/2016,10:12:30 AM,2902.12,1.69336,-28997.5,0.0508822,-0.614959,195.5,193.7,165.6,23.1,22.6,173.1,3.26927,200.229,0,3.94671,3.84638,-1.24048
138,12/20/2016,10:12:40 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615525,197.1,192.8,165.6,23.3,22.6,173.1,3.26927,200.074,0,3.94658,3.84608,-1.24048
139,12/20/2016,10:12:50 AM,2902.12,1.69336,-28997.5,0.0509006,-0.61477,195.6,192,165.6,23.2,22.6,173.2,3.26927,199.965,0,3.94643,3.84562,-1.24048
140,12/20/2016,10:12:59 AM,2902.12,1.69336,-28997.5,0.0508822,-0.615525,193.5,191.2,165.6,23.3,22.6,173.2,3.26927,199.965,0,3.9465,3.84602,-1.24048
141,12/20/2016,10:13:09 AM,2903.04,1.69336,-28997.5,0.0508822,-0.615776,191.2,190.5,165.5,23.3,22.6,173.3,3.26927,199.842,0,3.94611,3.84586,-1.24048
142,12/20/2016,10:13:19 AM,2902.12,1.69336,-28997.5,0.0508822,-0.61477,189.3,189.7,165.6,23.2,22.6,173.3,3.26927,199.842,0,3.94589,3.84562,-1.24048
143,12/20/2016,10:13:29 AM,2903.04,1.69336,-29008.1,0.0508822,-0.615965,187.7,188.9,165.7,23.2,22.6,173.4,3.26927,199.733,0,3.94589,3.84534,-1.24048
144,12/20/2016,10:13:39 AM,2903.04,1.69336,-29008.1,0.0509006,-0.61477,186.3,188.2,165.7,23.1,22.5,173.5,3.26927,199.733,0,3.94577,3.84545,-1.24048
